Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"A legacy monolithic application built with ASP.NET Framework 4.8 needs to migrate to Azure. Which App Service OS option is mandatory?","Linux (modern cloud platform)","Windows (only OS supporting .NET Framework)","Either Windows or Linux (both supported)","Containerized on Linux only","B","ASP.NET Framework 4.8 runs ONLY on Windows App Service plans—it's a hard constraint with zero exceptions. Modern .NET 5+ runs on both Windows and Linux. This is the ultimate deployment blocker: if even one legacy .NET Framework app exists in your portfolio, you need at least one Windows plan. Attempting to deploy to Linux plan will fail immediately.","App Service,Runtime,OS Constraints,Deep Dive","Deep Dive: App Service Runtimes","App Service Deep Dive Batch"
"Your microservices portfolio includes a Ruby on Rails API, a Python backend, and an ASP.NET Framework 4.8 service. All must deploy to West US 2. What's the minimum number of App Service plans needed?","1 plan (all compatible with Linux)","2 plans (1 Windows for .NET Framework, 1 Linux for Ruby/Python)","3 plans (one per application)","1 plan with containers (sidestep OS limits)","B","Ruby runs primarily on Linux; .NET Framework only on Windows. Python is flexible (both OS). Minimum = 1 Windows plan (.NET Framework) + 1 Linux plan (Ruby + Python). You cannot mix OS within a single plan—the plan OS is fixed at creation. Moving Ruby to Windows or .NET Framework to Linux will fail. Regional constraint: all apps and plans must be in same region (West US 2).","App Service,Planning,Multi-App,Deep Dive","Deep Dive: App Service Runtimes","App Service Deep Dive Batch"
"GOLDEN RULE: Within a single App Service plan, what constraint is absolute?","All apps must use the same OS (Windows or Linux)","Apps can mix OS if they use containers","All apps must use the same runtime stack","Separate apps always need separate plans","A","GOLDEN RULE: Plan OS is immutable—all apps on a Windows plan MUST be Windows-compatible; all on Linux MUST be Linux-compatible. You cannot bypass this by using containers or different runtimes. This is the foundational planning decision: get the OS wrong at plan creation and you're blocked from deploying entire application categories. Migration between OS plans requires re-creating the plan.","App Service,Planning,Best Practice,Deep Dive","Deep Dive: App Service Planning","App Service Deep Dive Batch"
"Multi-container deployments (Docker Compose with frontend + backend) are required for your microservices. Which OS supports this deployment model?","Windows App Service (single & multi-container)","Linux App Service only (multi-container support)","Both Windows and Linux equally","Custom VM required","B","Multi-container deployments (Docker Compose, multiple services per app) are Linux-only on App Service. Windows App Service supports ONLY single-container deployment. If you need orchestrated multi-container workloads, you must use Linux or move to Azure Kubernetes Service (AKS) for full container orchestration. This is a critical deployment blocker for containerized microservices.","App Service,Containers,Docker Compose,Deep Dive","Deep Dive: App Service Containers","App Service Deep Dive Batch"
"When deploying code directly (vs. containers) to App Service, what responsibility shifts to Azure?","You manage the entire OS and runtime stack","Azure provides and patches the OS, runtime, and framework for you","You manage security patches but Azure manages runtime","Neither—you're fully responsible either way","B","Code deployment = simplified PaaS model. You push code; Azure provides the target runtime (Node, Python, Java, .NET) and handles OS patching, framework updates, and runtime maintenance. Docker deployment = full control but full responsibility—you package OS + frameworks + code in the image; Azure just runs the container. Choose code for simplicity; choose Docker for control.","App Service,Deployment Methods,PaaS,Deep Dive","Deep Dive: App Service Deployment","App Service Deep Dive Batch"
"Your app has niche dependencies (custom C++ library) not in Azure's standard runtime stack. Which deployment approach is required?","Code publish (Azure will handle the library)","Docker container (package the entire environment with dependencies)","Custom OS image on VMs (only way to use custom libraries)","Migrate to on-premises (Azure doesn't support custom dependencies)","B","Code deployment relies on Azure's pre-configured runtime stacks, which have standard library sets. Non-standard dependencies (C++ libs, exotic packages) must be included in a Docker image. You build the image locally with all dependencies, push to ACR, and deploy. This is essential for niche tools or legacy libraries not in public package managers. Docker = total portability from laptop to production with zero 'works on my machine' surprises.","App Service,Docker,Dependencies,Deep Dive","Deep Dive: App Service Deployment","App Service Deep Dive Batch"
"An e-commerce app and a nightly batch reporting job share the same App Service plan. On Black Friday, the e-commerce traffic consumes 95% CPU. What happens to the reporting job?","It continues running unaffected (resources are isolated)","It gets starved for CPU and may timeout (resource contention on shared plan)","It automatically scales to a separate plan","The plan throttles e-commerce to 50% to enforce fairness","B","Sharing a plan maximizes cost efficiency but introduces resource contention risk. Both apps compete for the same CPU, RAM, and disk. If one spikes (e-commerce on Black Friday), the other starves. Solution: separate apps with different performance criticality or workload patterns onto dedicated plans. This is the core trade-off—save money by sharing, or ensure isolation by separating. Document app importance and expected load profiles before co-locating.","App Service,Resource Contention,Planning,Deep Dive","Deep Dive: App Service Planning","App Service Deep Dive Batch"
"GOLDEN RULE: You scale __________ not individual applications on it.","The individual applications","The App Service plan (compute block)","The runtime stack","The container registry","B","GOLDEN RULE: The App Service plan IS the compute boundary—CPUs, RAM, storage you pay for. Applications are just tenants on that plan. You resize the plan SKU (Basic, Standard, Premium) to add capacity; you don't scale individual apps. This is fundamental to understanding PaaS cost modeling: plan = billing unit, not per-app. Forget this and you'll chase performance issues by scaling apps when you need to scale the plan.","App Service,Scaling,Best Practice,Deep Dive","Deep Dive: App Service Scaling","App Service Deep Dive Batch"
"Your web app must securely connect to a private database inside a VNet. Which App Service feature enables this and what tier typically supports it?","App Service Managed Identity with Minimum Free tier","VNet integration with Standard or Premium tier minimum","Direct database connection on any tier","Network Security Groups (no App Service tier requirement)","B","VNet integration allows App Service apps to access private VNet resources (databases, services) with private IPs. It's not available on Free/Shared/Basic tiers—requires Standard minimum, Premium for production reliability. Ensure the plan and VNet are in the same region. This is a common exam trap: students assume networking 'just works' on any tier; it's a paid feature reserved for higher tiers.","App Service,VNet Integration,Networking,Tier Requirements,Deep Dive","Deep Dive: App Service Networking","App Service Deep Dive Batch"
"You have staging and production slots. New code is in staging. To move it to production with zero downtime, what operation must you perform?","Redeploy the code to production slot","Perform a slot swap (atomic traffic routing exchange)","Stop production, copy staging, restart","Manually reconfigure load balancer settings","B","Slot swap is an atomic operation that instantly exchanges traffic routing between slots. The staging app becomes production; production becomes staging. No downtime, no request drops. This is essential for zero-downtime deployments, A/B testing, and rollback scenarios. Swapping also swaps configuration settings unless you mark them as 'slot settings'—control which settings move with the slot.","App Service,Deployment Slots,Zero Downtime,Deep Dive","Deep Dive: App Service Deployment","App Service Deep Dive Batch"
