Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"A stateless web API serving millions of requests needs to scale from 10 to 1000 instances within minutes for massive demand spikes. Which VMSS orchestration mode prioritizes deployment speed?","Flexible mode (individual control)","Uniform mode (identical instances)","Custom mode (hybrid approach)","Manual mode (static sizing)","B","Uniform mode deploys identical VM clones instantly because each instance holds no unique state—no configuration overhead, no data migration. Provisioning time drops from minutes to seconds per instance. Flexible mode adds operational complexity by allowing instance-level customization; only use when you need different VM sizes or stateful workloads like database nodes.","VMSS,Orchestration,Autoscale,Performance,Deep Dive","Deep Dive: VMSS Orchestration","VMSS Deep Dive Batch"
"A critical application runs database nodes that each hold unique replication state and must survive individual VM failures without data loss. Which orchestration mode suits this?","Uniform mode (stateless clones)","Flexible mode (individual instance management)","Hybrid mode (switching allowed)","Orchestrated mode (event-driven)","B","Flexible mode treats each VM as an individual entity—critical for stateful workloads (databases, session stores, quorum-based clusters). You can attach existing VMs, configure different sizes, and manage node identities. Uniform mode would lose data if an instance died and was replaced with an identical clone; stateful apps require persistent identity and manual lifecycle management.","VMSS,Orchestration,Stateful,Deep Dive","Deep Dive: VMSS Orchestration","VMSS Deep Dive Batch"
"GOLDEN RULE: The fundamental decision when choosing VMSS orchestration mode is:","Minimize monthly infrastructure costs","Match orchestration mode to workload state (stateless→uniform for speed, stateful→flexible for control)","Always use uniform mode for simplicity","Choose flexible for all mission-critical apps","B","GOLDEN RULE: Uniform mode = identical stateless clones, fastest scale-out (seconds), minimal config. Flexible mode = individual VMs with unique identities, slower provisioning but handles different sizes and stateful apps. Map the choice at deployment time—switching modes later is costly. Stateless web/API? Uniform. Database/session clusters? Flexible. This decision shapes your entire operational model.","VMSS,Orchestration,Best Practice,Deep Dive","Deep Dive: VMSS Orchestration","VMSS Deep Dive Batch"
"Azure plans monthly OS patches on the underlying host servers. With a 3-instance VMSS configured with 3 update domains, what's guaranteed during maintenance?","All 3 instances go offline simultaneously for patching","At least 2 instances remain available while 1 is patched","Only 1 instance remains available during updates","Instances patch themselves without downtime","B","Update domains (UDs) control Azure's planned maintenance sequence—only 1 UD is updated at a time. With 3 VMs across 3 UDs: UD1 patches (1 VM down), Azure waits 30 minutes for recovery, then UD2 patches (still have 2 running), then UD3. Minimum 2 instances guaranteed online. Configure fewer than 3 UDs and you risk all instances down during maintenance—breaking HA SLAs.","VMSS,Update Domains,Availability,Deep Dive","Deep Dive: VMSS Availability","VMSS Deep Dive Batch"
"GOLDEN RULE: To guarantee at least 2 VMs stay online during Azure's planned maintenance, the VMSS must have:","Minimum 2 update domains (UD=2)","Exactly 2 availability zones (AZ=2)","Minimum 3 update domains (UD=3)","At least 4 fault domains (FD=4)","C","GOLDEN RULE: 3 update domains is the magic number. When 1 UD is patched, 2 remain available. With UD=2, both could theoretically be patched in sequence, leaving 0 running. Azure's 30-minute recovery window between UD patches provides your safety margin. This is a non-negotiable architectural guarantee for production HA within a single data centre.","VMSS,Update Domains,High Availability,Best Practice,Deep Dive","Deep Dive: VMSS Availability","VMSS Deep Dive Batch"
"A data center power supply fails mid-afternoon, taking down one physical rack. How many VMSS instances are affected if the scale set has 9 instances spread across 3 fault domains?","All 9 instances (no redundancy)","6 instances (2 FDs affected)","3 instances (1 FD affected)","0 instances (backup power kicks in)","C","Fault domains (FDs) represent physical racks with isolated power and networking. VMSS spreads instances across FDs automatically. If FD1's rack loses power, only the ~3 VMs in that domain go offline; FD2 and FD3 keep running. This minimizes the blast radius of hardware failures. With 9 instances across 3 FDs: each FD gets ~3 VMs, so 1 rack failure = 3 VMs down, 6 still running.","VMSS,Fault Domains,Resilience,Deep Dive","Deep Dive: VMSS Resilience","VMSS Deep Dive Batch"
"Your VMSS serves critical workloads requiring protection against both unplanned hardware failures AND a complete data center going offline. Which deployment pattern is essential?","Deploy across multiple fault domains only (same data center)","Deploy across multiple update domains for maintenance windows","Deploy across availability zones (physically separate data centers)","Dual-region active-active with Traffic Manager","C","Availability zones (AZs) are physically separate data centers miles apart with independent power/cooling. Fault domains protect within a data center; update domains protect during maintenance. For defense against entire data center failure (worst case), deploy across 3 AZs. This is the regional resilience layer: VMSS in AZ1, AZ2, AZ3 ensures service survives any 1 AZ going dark. Zone-redundant storage (ZRS) follows the same pattern.","VMSS,Availability Zones,Regional Resilience,Deep Dive","Deep Dive: VMSS Resilience","VMSS Deep Dive Batch"
"A stateless web application needs HA within a single data center. Minimum VMSS configuration to survive one UD maintenance window AND one FD hardware failure?","2 update domains + 2 fault domains","3 update domains + 2 fault domains","3 update domains + 3 fault domains","2 update domains + 3 fault domains","B","Surviving UD maintenance requires 3 UDs (GOLDEN RULE). Surviving 1 FD failure requires at least 2 FDs (when 1 fails, the other keeps running). Minimum HA = 3 UDs + 2 FDs. Add more FDs (3+) for extra redundancy but 2 is technically sufficient for fault tolerance. If you need multi-data-center resilience, add availability zones.","VMSS,Update Domains,Fault Domains,Deep Dive","Deep Dive: VMSS Configuration","VMSS Deep Dive Batch"
"Your VMSS hosts a web application where users must hit the same backend VM for the entire session. How do you configure the Azure Load Balancer to enforce this?","Set session persistence to 'None' for randomized routing","Set session persistence to 'Client IP' (hash-based routing)","Set session persistence to 'Server Affinity' (IP-based)","Disable load balancing and manually assign sessions","B","Client IP session persistence creates a hash from source IP + protocol, ensuring the same client always routes to the same backend VM. This isn't true sticky sessions (app state is lost if VM fails) but it maintains client-to-VM affinity during the session. Any other setting breaks affinity and randomly distributes requests. Use sparingly—true stateless design (no session affinity) scales better.","VMSS,Load Balancer,Session Persistence,Deep Dive","Deep Dive: VMSS Networking","VMSS Deep Dive Batch"
"Comparing operational overhead: VMSS requires OS patching/maintenance for every instance, while Azure App Service is fully managed. For a stateless web app, which is recommended?","VMSS (gives you full OS control)","Azure App Service (Platform as a Service, reduces ops burden)","Kubernetes (maximum flexibility)","Virtual Machines (simplest model)","B","App Service is PaaS—Azure handles all OS patching, security updates, and infrastructure. You deploy code and set scaling rules; platform handles the rest. VMSS is IaaS—you own the OS on every instance, requiring patch management, security hardening, monitoring. For stateless web apps, App Service drastically reduces operational overhead while delivering autoscaling and cost efficiency. Only use VMSS if you need OS-level control.","VMSS,App Service,IaaS,PaaS,Deep Dive","Deep Dive: VMSS vs App Service","VMSS Deep Dive Batch"
