Section,Question,Options,Correct Answer,Reference ID,Notes
Runtime Stacks,Which runtime stack should you choose for a .NET 6 application in Azure App Service?,Node.js;Python;Java;.NET 6,.NET 6,TD-FC-01a,
Runtime Stacks,Azure App Services support multiple runtimes. Which of the following is NOT a supported runtime stack?,Python;PHP;.NET Core;Oracle DB,Oracle DB,TD-FC-01b,
Runtime Stacks,Best practice for selecting a runtime stack is to:,Match application language;Choose highest version;Use default;Ignore compatibility,Match application language,TD-FC-01c,Golden Rule: always match runtime to app
Storage Account Types,Which storage account type is optimized for high IOPS workloads?,Standard;Premium;BlobStorage;FileStorage,Premium,TD-FC-02a,
Storage Account Types,BlobStorage account type is best for:,Block blobs;Premium compute;Databases;VM disks,Block blobs,TD-FC-02b,
Storage Account Types,Golden Rule for selecting storage accounts is to:,Select cheapest;Match performance to workload;Always choose Premium;Ignore workload needs,Match performance to workload,TD-FC-02c,Golden Rule: performance vs workload
Storage Type Migration,Which tool allows migration between storage types without downtime?,AzCopy;Azure Storage Explorer;Manual Copy;FTP,AzCopy,TD-FC-03a,
Storage Type Migration,Best practice when migrating Azure Storage:,Stop all VMs;Use unsupported tools;Use supported tools;Delete old data,Use supported tools,TD-FC-03b,Golden Rule: use supported tools
Storage Redundancy,Which redundancy provides read access to a secondary region?,LRS;ZRS;GRS;RA-GRS,RA-GRS,TD-FC-04a,
Storage Redundancy,"If local data center fails, which option ensures zone-level redundancy?",LRS;ZRS;GRS;RA-GRS,ZRS,TD-FC-04b,
Storage Redundancy,"Golden Rule: When high availability is required, always consider:",LRS;ZRS;Geo-redundant;Manual backup,Geo-redundant,TD-FC-04c,Golden Rule variant
Blob Access Tiers,Which tier is most cost-efficient for rarely accessed data?,Hot;Cool;Archive;Premium,Archive,TD-FC-05a,
Blob Access Tiers,Which tier allows low-latency frequent access?,Hot;Cool;Archive;Premium,Hot,TD-FC-05b,
Blob Access Tiers,Golden Rule: Select access tier based on:,Cost only;Frequency of access;Storage type;Random choice,Frequency of access,TD-FC-05c,Golden Rule variant
Disk Types,Which Azure Disk provides highest performance for latency-sensitive workloads?,Standard HDD;Standard SSD;Premium SSD;Ultra Disk,Ultra Disk,TD-FC-06a,
Disk Types,Best practice when choosing disks:,Always Standard HDD;Match performance to workload;Ignore VM size;Use cheapest option,Match performance to workload,TD-FC-06b,Golden Rule variant
App Service Plans,Which plan tier offers autoscaling and high availability?,Free;Basic;Standard;Premium,Premium,TD-FC-07a,
App Service Plans,Best practice for production workloads:,Use Free tier;Use Premium tier;Ignore scaling;Use Basic tier,Use Premium tier,TD-FC-07b,Golden Rule variant
AzCopy,Which is recommended for authorizing AzCopy for secure transfers?,SAS Token;Azure AD;FTP;Shared Key,Azure AD,TD-FC-08a,
AzCopy,"Golden Rule: For secure data migration, always:",Use anonymous access;Use Azure AD or SAS;Disable encryption;Use FTP,Use Azure AD or SAS,TD-FC-08b,Golden Rule variant
VPN Gateway,Which connection type allows site-to-site VPN?,Point-to-Site;Site-to-Site;VNet-to-VNet;ExpressRoute,Site-to-Site,TD-FC-09a,
VPN Gateway,Which connection is used for connecting individual clients securely?,Point-to-Site;Site-to-Site;VNet-to-VNet;ExpressRoute,Point-to-Site,TD-FC-09b,
Load Balancers,Which load balancer type distributes traffic inside a VNet?,Public;Internal;Global;Standard,Internal,TD-FC-10a,
Load Balancers,Golden Rule: Always match load balancer type with:,Traffic source;Random choice;VM size;Storage account,Traffic source,TD-FC-10b,Golden Rule variant
VM Backup,Which snapshot type ensures application-consistent backup?,Crash-consistent;Application-consistent;Unmanaged;Read-only,Application-consistent,TD-FC-11a,
VM Backup,"Golden Rule: For critical VMs, always use:",Crash-consistent snapshots;Application-consistent snapshots;No backup;Manual copy,Application-consistent snapshots,TD-FC-11b,Golden Rule variant
VM Restore,"When restoring encrypted VM disks, which ensures correct restoration?",Restore to unencrypted;Match encryption type;Restore files only;Crash-consistent only,Match encryption type,TD-FC-12a,
VM Restore,"Golden Rule: When restoring VMs, always consider:",Encryption type;Ignore disk type;Only restore apps;Random restore,Encryption type,TD-FC-12b,Golden Rule variant
