Question,Answer,Domain,Category,Priority
What is the 'gated community' analogy for Azure Container Apps environments?,"The entire Azure Container Apps environment is like a high-security, completely sealed gated community where each container app is a 'house'. By default, the gates are locked shut and apps are only visible to other residents (apps) inside that environment.",Container Apps,Networking,Foundational
What is the Golden Rule of Azure Container Apps Ingress?,"Ingress only exposes what you explicitly allow. Azure defaults to total denial - if you don't affirmatively open that gate, nothing from the outside world is reachable. Azure never guesses what you want; you have to tell it.",Container Apps,Networking,Critical
What is the default security posture for Azure Container Apps Ingress?,Default deny/locked down. Azure starts with everything locked down and requires you to explicitly allow access. This is different from older models where things were sometimes open by default until locked down.,Container Apps,Security,Foundational
What does 'Ingress = Internal Only' (or Off) mean in Container Apps?,"The app is only visible within the Container Apps environment. Only 'neighbors' (other apps in the same environment) can talk to it. It cannot be reached from the internet, your laptop, or even a VM in a different VNet.",Container Apps,Networking,Core
What are the ideal use cases for Internal Only Ingress mode?,"Internal microservices, API-to-API calls, and backend workers that should never be hit from the public internet. It keeps your internal ecosystem secure and private.",Container Apps,Architecture,Core
What is a common troubleshooting trap with Internal Only Ingress?,"If Ingress is set to Internal Only, you cannot hit the app from the internet, your laptop, or a VM in a different VNet. This isolation is a feature, not a bug - it prevents security headaches but can confuse developers expecting external access.",Container Apps,Troubleshooting,Critical
What are the three core modes of Azure Container Apps Ingress configuration?,"1) Ingress = Off (Internal Only): App only visible within environment
2) Ingress = External (Limited): App exposed to internet with limited features
3) Ingress = External (Accepting traffic from anywhere): Full public access
Each mode controls who can reach your containerized application.",Container Apps,Networking,Core
Why does Azure Container Apps use a 'deny by default' security model?,"To minimize attack surface and prevent accidental exposure of internal services. You must explicitly enable external access, forcing conscious security decisions and preventing services from being unintentionally exposed to the internet.",Container Apps,Security,Core
What is the security advantage of starting with locked-down Ingress?,"It saves you many security headaches by requiring explicit authorization for external access. Internal services remain protected by default, reducing the risk of unauthorized access or data breaches.",Container Apps,Security,Core
What happens if you don't configure Ingress for a Container App?,"The app remains completely isolated - accessible only to other apps within the same Container Apps environment. No external traffic (internet, other VNets, or your local machine) can reach it.",Container Apps,Networking,Foundational
Can a Container App with Internal Only Ingress communicate with other Container Apps?,"Yes, but only with other apps inside the same Container Apps environment. It's like houses in a gated community - residents can visit each other, but the gates keep everyone else out.",Container Apps,Networking,Core
What level of network isolation exists between Container Apps environments?,Complete isolation by default. Apps in different Container Apps environments cannot communicate unless you explicitly configure External Ingress and routing. Each environment is its own 'gated community'.,Container Apps,Networking,Core
Where do you configure Ingress settings for Container Apps?,"In the Container App's Ingress configuration settings. You explicitly define:
- Ingress enabled/disabled
- Internal vs External access
- Traffic acceptance rules
- Port configuration",Container Apps,Configuration,Core
What is the relationship between Container Apps environment and Ingress?,"The Container Apps environment is the security boundary. Ingress configuration determines whether apps within that environment can be reached from outside. Think: environment = gated community, Ingress = gate control.",Container Apps,Architecture,Foundational
You cannot reach your Container App from your laptop. What should you check first?,"Check the Ingress configuration. If it's set to 'Internal Only' or 'Off', the app is intentionally isolated and only accessible from within the Container Apps environment. You need to change it to 'External' for external access.",Container Apps,Troubleshooting,Critical
A microservice needs to be called only by other services in the environment. What Ingress mode?,"Internal Only (or Ingress = Off). This ensures the microservice is only reachable by other apps within the same Container Apps environment, maintaining security isolation from external networks.",Container Apps,Architecture,Core
What Ingress mode would you use for a public-facing web API?,External Ingress with 'Accepting traffic from anywhere' mode. This exposes the API to the internet while maintaining Azure's security controls and allowing proper routing configuration.,Container Apps,Architecture,Core
What is the difference between a Container Apps environment and a VNet?,"A Container Apps environment is a logical, managed boundary for your apps (like a gated community). A VNet is the underlying network infrastructure. Even if apps are in the same VNet but different environments, they're isolated unless Ingress is configured.",Container Apps,Networking,Advanced
Can you reach an Internal Only Container App from a VM in the same VNet?,"No. Internal Only means the app is only accessible within the Container Apps environment boundary, not just the VNet. The environment provides an additional layer of isolation beyond network topology.",Container Apps,Networking,Critical
What happens when you enable External Ingress on a Container App?,"Azure provisions external endpoints and routing infrastructure, making the app accessible from outside the Container Apps environment. Traffic can now reach it from the internet, other VNets, or your local machine, depending on configuration.",Container Apps,Networking,Core
What is a common architecture pattern using Internal Only Ingress?,"Backend microservices architecture: Frontend apps use External Ingress to serve users, while backend services (databases, APIs, workers) use Internal Only Ingress for service-to-service communication within the environment.",Container Apps,Architecture,Advanced
How does Container Apps Ingress support zero-trust architecture?,"By defaulting to deny-all and requiring explicit allow rules. Every service starts isolated, and you consciously decide what to expose. This aligns with zero-trust principles of 'never trust, always verify'.",Container Apps,Security,Advanced
AZ-104 Scenario: A Container App isn't reachable from Azure Portal. Why?,Most likely Ingress is set to Internal Only or disabled. Azure Portal access requires External Ingress since the portal runs outside the Container Apps environment. Check Ingress configuration first.,Container Apps,Troubleshooting,Exam
AZ-104 Scenario: You need to secure a backend API so only other services in the environment can call it. How?,"Set Ingress to Internal Only (or disable Ingress). This ensures the API is only accessible to other Container Apps within the same environment, preventing any external access including from other VNets.",Container Apps,Security,Exam
AZ-104 Scenario: How do you expose a Container App to the internet?,Enable External Ingress and set it to 'Accepting traffic from anywhere'. Configure the appropriate port and ensure your app is listening on that port. Azure will provision public endpoints and routing.,Container Apps,Configuration,Exam
What does 'deny by default' mean in Container Apps Ingress?,All inbound traffic is blocked unless explicitly allowed through Ingress configuration. No app is accessible from outside its environment unless you intentionally enable External Ingress.,Container Apps,Security,Critical
