Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"What's the key operational distinction between RBAC and Entra Domain Services (Entra DS)?","They do the same thing; just different names","RBAC = stateless Azure Resource Manager control (who can manage resources). Entra DS = stateful managed domain service (Kerberos/NTLM auth for legacy apps, file-level access). RBAC opens the door; Entra DS decides who touches the files.","Both manage file permissions","RBAC is newer; Entra DS is deprecated","B","Mnemonic: 'RBAC opens the door to the room; Entra DS decides who can touch the files.' RBAC grants access to Azure resources (manage VM, configure network). Entra DS provides classic domain authentication (Kerberos tickets for file servers, legacy apps). Both needed for hybrid. RBAC alone = no fine-grained file access.","Identity, RBAC, Entra DS, Hybrid","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Files requires identity-based file access. What are the two distinct permission layers?","Just RBAC; that's sufficient","Layer 1 = Azure RBAC role (Contributor/Reader on storage account, opens access to share). Layer 2 = NTFS permissions (actual file/folder permissions, requires Kerberos via Entra DS). Both layers must permit access.","Just NTFS permissions","RBAC and NTFS are the same layer","B","Double permission model: (1) RBAC = share-level access (can you see the storage resource), (2) NTFS = file-level access (can you read/write specific files). Both required for identity-based file access. Kerberos tickets (from Entra DS) enable NTFS layer. Missing either layer = access denied.","Azure Files, RBAC, NTFS, Identity","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Port 445 (SMB) is blocked outbound on your corporate network. You need on-prem access to Azure Files. What's the standard tunneling approach?","Use HTTP instead of SMB (insecure)","Route SMB traffic over Site-to-Site VPN or ExpressRoute circuit; encrypts and tunnels port 445 through allowed channel; for temporary/external access, use SAS token URLs (bypass SMB entirely)","SMB is impossible from on-prem","Disable the corporate firewall","B","Hybrid connectivity: (1) Site-to-Site VPN = encrypted tunnel for SMB (port 445), suitable for permanent connections. (2) ExpressRoute = higher bandwidth/reliability for mission-critical. (3) SAS tokens = generate signed URLs for temporary web-based access (bypasses SMB, firewalls don't block HTTPS). Choose based on permanence and bandwidth.","Azure Files, Port 445, Hybrid Connectivity, VPN","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Entra Domain Services integration with Azure Files enables what specific authentication protocol?","HTTP authentication","Kerberos and NTLM authentication; allows domain-joined VMs and on-prem users to authenticate against file shares using AD credentials; enables NTFS-level fine-grained permissions","OAuth 2.0 only","Basic authentication only","B","Entra DS + Azure Files = Kerberos tickets. Domain users' credentials translate to Kerberos tickets, which Azure Files validates against Entra DS. Result: users can access files with identity-based NTFS permissions (e.g., 'Finance group has read-only to folder X'). No Entra DS = no Kerberos = no identity-based NTFS access.","Entra DS, Kerberos, Azure Files, Authentication","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"What governance mechanism should enforce organizational resource deployment standards (e.g., only specific VM sizes, approved regions)?","RBAC role assignments","Azure Policy; defines what resources can be deployed and with what configuration; bakes compliance into pipeline; prevents non-compliant deployments","Activity Log monitoring","NSG rules","B","Governance layers: RBAC = who can do things (permissions). Azure Policy = what's allowed/required (standards). Policy examples: 'enforce VM size <= Standard_D4s_v3', 'only deploy in East US/West US', 'encryption must be enabled'. Policy denies non-compliant deployments at the start, preventing drift.","Governance, Azure Policy, Compliance, Standards","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Privileged Identity Management (PIM) applies to which role type and provides what protection?","Regular user roles; just password management","Admin/sensitive roles (Global Admin, Contributor); provides just-in-time (JIT) access—request role, justify, get approval, auto-expires after set time. Shrinks attack surface for critical roles; principle of least privilege in action.","All roles equally","PIM prevents all password changes","B","PIM = temporary privilege elevation. Instead of standing Global Admin, you activate when needed ('I need Contributor for 1 hour'), system auto-revokes when time expires. Dramatically reduces window for compromised admin accounts. Only Entra ID P2. This is the operational security control for admin roles.","PIM, Privileged Access, Just-in-time, Security","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"In App Service, scaling performance and OS are defined at what level?","Individual web app","App Service Plan (ASP); all apps on a plan share resources, OS type (Windows/Linux). Mnemonic: 'Scale the plan not the app; the engine lifts all the cars.' One ASP can host multiple apps; scale the plan, all apps benefit.","Per deployment slot","Per region","B","App Service architecture: Multiple apps run on single App Service Plan. Plan defines: (1) OS (Windows or Linux), (2) compute tier (F1 Free, B1 Basic, S1 Standard, P1 Premium). Scale the plan (scale-up or scale-out) = all hosted apps get increased resources. You cannot scale one app independently of its plan.","App Service, Scaling, Plan Architecture","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"App Service deployment: 'Code' vs 'Docker Container' publish option. Which requires you to provide the entire runtime environment?","Code requires it","Docker Container publish option = you must provide complete runtime in the image (runtime, dependencies, libs, app code). Code publish = Azure provides managed runtimes (.NET, Java, Python, etc.); you only provide app code.","Both require complete runtime","Neither requires runtime","B","Publish types: Code = platform-managed runtime (use built-in .NET 6, Java 17, etc.). Docker Container = you own the Dockerfile and image; responsible for all runtime details. Docker gives flexibility but more management burden. Code is simpler if using standard stacks.","App Service, Deployment, Docker, Runtime","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Container Instances (ACI) scaling model and operational constraint:","Supports in-place scaling with auto-scaling","Does NOT support in-place scaling or auto-scaling based on metrics. To scale CPU/memory or add instances, must tear down entire container group and redeploy with new configuration. Mnemonic: 'ACI Always Create Instance.' Great for short-lived tasks, terrible for auto-scaling workloads.","Scales like App Service","Supports horizontal auto-scaling","B","ACI limitation = no dynamic scaling. Single container task goes down, you redeploy. If you need 2 instances instead of 1, delete the group, recreate with replicas=2. This is why ACI suits batch jobs/quick tasks, not production auto-scaling. For scaling, use AKS or App Service.","ACI, Scaling, Container Instances, Limitations","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Infrastructure as Code (IaC) tool comparison: ARM Templates vs Terraform vs Bicep. Which is generally fastest for provisioning?","ARM Templates","Bicep is generally fastest for provisioning new infrastructure; ARM Templates retain slight edge for de-provisioning/deletion. Tool choice slightly influences deployment/cleanup speeds.","Terraform is consistently fastest","All have identical speed","B","IaC performance: Bicep optimized for Azure-specific provisioning (cleaner syntax, faster parsing). Terraform more generic (multi-cloud, slightly slower for Azure). ARM Templates more verbose. For net-new: Bicep edges out. For cleanup: ARM still competitive. Choose Bicep for Azure-first strategies.","IaC, Bicep, Infrastructure, Deployment","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
