Section,Question,Options,Correct Answer,Reference ID,Notes
Runtime Stacks,Which Azure App Service runtime stack should you select for a .NET 6 application?,Node.js;Python;Java; .NET 6,.NET 6,TD-FC-01,
Storage Account Types,Which Azure Storage Account type offers premium performance for I/O-intensive workloads?,Standard;Premium;BlobStorage;FileStorage,Premium,TD-FC-02,
Storage Type Migration,Which tool is recommended to migrate Azure Storage accounts without downtime?,AzCopy;Azure Storage Explorer;FTP;Manual Copy,AzCopy,TD-FC-03,Golden Rule applied: use supported migration tools
Storage Redundancy,Which Azure Storage redundancy option allows read access to a secondary region?,LRS;ZRS;GRS;RA-GRS,RA-GRS,TD-FC-04,Golden Rule applied: read-access to secondary region
Blob Access Tiers,Which Azure Blob access tier is most cost-efficient for infrequently accessed data?,Hot;Cool;Archive;Premium,Archive,TD-FC-05,
Disk Types,Which Azure Disk type offers the highest IOPS for latency-sensitive workloads?,Standard HDD;Standard SSD;Premium SSD;Ultra Disk,Ultra Disk,TD-FC-06,
App Service Plans,Which App Service Plan tier provides autoscaling and high availability?,Free;Basic;Standard;Premium,Premium,TD-FC-07,
AzCopy,What is the recommended authorization method for AzCopy to securely transfer files?,SAS Token;Azure AD;FTP;Shared Key,Azure AD,TD-FC-08,Golden Rule applied: secure authorization
VPN Gateway,Which type of Azure VPN Gateway connection allows site-to-site connectivity?,Point-to-Site;Site-to-Site;VNet-to-VNet;ExpressRoute,Site-to-Site,TD-FC-09,
Load Balancers,Which Azure Load Balancer type distributes traffic within a virtual network?,Public;Internal;Global;Standard,Internal,TD-FC-10,
VM Backup,Which snapshot type ensures applications in the VM are in a consistent state during backup?,Crash-consistent;Application-consistent;Unmanaged;Read-only,Application-consistent,TD-FC-11,Golden Rule applied: consistent backup for critical VMs
VM Restore,"When restoring a VM with managed encrypted disks, which practice ensures correct restoration?",Restore to unencrypted disks;Match encryption type with source;Only restore application files;Use crash-consistent snapshot only,Match encryption type with source,TD-FC-12,Golden Rule applied: match encryption type
