Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"For Azure Files with SMB protocol, which network layer component is non-negotiable for connectivity?","UDP port 139","TCP port 445","HTTP port 80","RDP port 3389","B","TCP port 445 is the mandatory gateway for SMB (Server Message Block) protocol. No port 445 = no file share connectivity. Many ISPs block it as a security risk; workaround requires Azure Private Endpoints to bypass ISP filtering.","Azure Files, Network, SMB, Protocol","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"ISPs block port 445 outbound. How does Azure Private Endpoint solve this?","Uses alternative port like 3389","Maps storage account to private IP inside VNet; traffic stays on Azure backbone, bypasses ISP rules completely","Applies IPSec encryption to port 445","Requires Site-to-Site VPN tunnel","B","Private Endpoint creates a private IP address inside your VNet for the storage account. Traffic never leaves Azure's secure network, so ISP port-blocking rules become irrelevant. It's fundamentally different from VPN (which still uses same ports)—Private Endpoint avoids the choke point.","Private Endpoint, Azure Files, Network Bypass","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"What is the correct access model for Azure Files SMB identity-based access—layer by layer?","Single layer: NTFS permissions only","Layer 1 = SMB Contributor RBAC role (share access). Layer 2 = NTFS permissions (file/folder granular access). Both required.","Single layer: RBAC role only","Two layers but both are Azure RBAC roles","B","Azure Files requires TWO independent security gates: (1) RBAC Share-Level: SMB Contributor role determines if you can see the share at all (RBAC). (2) NTFS File-Level: Windows ACLs determine read/write/delete on specific files/folders. Missing either = access denied. You're in the lobby (RBAC) but cannot enter rooms (NTFS).","Azure Files, RBAC, NTFS, Identity","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"After getting SMB Contributor RBAC role on an Azure file share, you still cannot read files. What's missing?","Higher RBAC tier like Owner role","NTFS permissions on target files/folders (granular Windows ACLs via Entra DS Kerberos)","Site-to-Site VPN connectivity","More powerful storage account key","B","SMB Contributor = lobby access only. Actual file-level access controlled by NTFS permissions (Windows access control lists). If NTFS denies read, RBAC cannot override. Kerberos tickets from Entra DS authenticate the principal; NTFS ACL evaluates the token.","NTFS, Kerberos, Granular Access, Entra DS","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"What's the difference between blob immutability policy and blob soft delete—operational intent?","Both protect accidental deletion equally","Immutability = regulatory compliance hold (WORM: Write Once Read Many; cannot delete/modify for set period). Soft delete = accidental deletion recovery (items recoverable for 1-365 days, but permissions-based deletion still erases them).","Immutability is newer; soft delete is deprecated","Soft delete enforces compliance; immutability aids recovery","B","Immutability: Legal hold for HIPAA/SOC2/SEC. Once set, no modification/deletion possible for specified duration—even admin with permissions cannot override. Soft delete: Recoverable recycle bin (up to 365 days max window). Someone with permissions can delete permanently; soft delete cannot prevent that—it only gives recovery window.","Blob Storage, Immutability, Soft Delete, Compliance","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Maximum retention period for blob soft delete—what's the absolute limit?","90 days","180 days","365 days (one year)","Unlimited; set by policy","C","Blob soft delete maximum configurable retention = 365 days (one year). Beyond that, Azure doesn't support longer retention in the soft delete recycle bin. For longer compliance holds, use immutability policy instead.","Blob Storage, Soft Delete, Retention","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Two critical distinctions in governance: what's the operational difference between Microsoft Entra ID built-in roles and Azure RBAC roles?","They're identical; just different names","Entra ID roles (User Admin, Global Admin) manage directory/identities. Azure RBAC roles (Contributor, Owner, Reader) manage Azure infrastructure resources.","RBAC is for directory management","Entra ID is for Azure resource management","B","Mnemonic: 'Entra ID manages people; RBAC manages resources.' Entra ID User Administrator = create/manage users/groups/licenses (directory operations). Contributor RBAC = can deploy/delete VMs/databases (resource operations). Different control planes, different scopes.","Identity, Governance, Control Plane","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Azure RBAC grants permission to deploy a VM. Which governance service enforces deployment constraints like 'only Standard_D2s_v3 size allowed'?","Microsoft Entra ID conditional access","Azure Policy (resource compliance rules, not permission grants)","RBAC role assignment","Storage Account access keys","B","RBAC = 'Can you pull trigger?' (permission check). Azure Policy = 'What bullets allowed?' (enforcement rules). RBAC says deploy; Policy dictates VM size, region, required tags. Policy cannot grant permission, but can block non-compliant deployments.","Azure Policy, RBAC, Governance","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Azure Policy enforcement on existing resources: can it automatically delete a manually resized VM that violates policy?","Yes; policy auto-corrects all violations","No; policy flags as non-compliant but doesn't auto-delete running resources","Only if you enable aggressive remediation","Yes, but only in audit mode","B","Policy on new deployments = blocking (prevents non-compliant creation). Policy on existing resources = reporting (flags non-compliant, doesn't auto-terminate). Manual enforcement required for already-running VMs. Remediation tasks exist but require explicit configuration and approvals.","Azure Policy, Compliance, Enforcement","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Conditional Access (CA) licensing requirement and blocking effectiveness—what's the connection?","Free tier; blocks 50% of attacks","Requires Entra ID P1 or P2; statistical data shows MFA (often via CA) blocks >99.9% of identity compromise attacks","Requires premium but only 60% effective","Only available with on-premises AD","B","Conditional Access = if-then logic (if untrusted location, then MFA). Requires Entra ID P1/P2 license. Empirical evidence: implementing MFA (primary CA use case) stops >99.9% of identity-based attacks—statistically the highest-ROI security control available. Organizational must-have.","Conditional Access, MFA, Identity Security, Licensing","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
