Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"Which Azure App Service runtime stack should you select for a .NET 6 application?","Node.js","Python","Java",".NET 6","D","Azure App Service supports multiple runtime stacks including .NET 6, .NET 8, Node.js, Python, Java, and PHP. .NET 6 is fully supported on both Windows and Linux App Service plans with long-term support until November 2024.","App Service,Runtime Stacks,Golden Rule","Microsoft Learn - App Service Runtime","Golden Rule Batch 1"
"Which Azure Storage Account type offers premium performance for I/O-intensive workloads?","Standard","Premium","BlobStorage","FileStorage","B","Premium storage accounts use SSD-backed storage for high-performance scenarios requiring low latency and high IOPS. Standard storage uses HDD-backed storage suitable for general workloads with lower performance requirements.","Storage,Performance,Golden Rule","Microsoft Learn - Storage Performance","Golden Rule Batch 1"
"Which tool is recommended to migrate Azure Storage accounts without downtime?","AzCopy","Azure Storage Explorer","FTP","Manual Copy","A","AzCopy is Microsoft's command-line utility specifically designed for high-performance data transfer to and from Azure Storage with resume capability and parallel operations. It supports incremental sync and can transfer data between storage accounts without downtime using service-to-service copy operations.","Storage,Migration,AzCopy,Golden Rule","Microsoft Learn - AzCopy","Golden Rule Batch 1"
"Which Azure Storage redundancy option allows read access to a secondary region?","LRS","ZRS","GRS","RA-GRS","D","RA-GRS (Read-Access Geo-Redundant Storage) replicates data across two regions AND provides read-only access to the secondary region endpoint. GRS replicates to a secondary region but doesn't allow read access until failover occurs.","Storage,Redundancy,RA-GRS,Golden Rule","Microsoft Learn - Storage Redundancy","Golden Rule Batch 1"
"Which Azure Blob access tier is most cost-efficient for infrequently accessed data with no immediate access requirement?","Hot","Cool","Archive","Premium","C","Archive tier offers the lowest storage cost but highest access cost with rehydration time of several hours. Cool tier is for infrequently accessed data requiring faster access (milliseconds), while Hot tier is for frequently accessed data.","Storage,Blob,Access Tiers,Golden Rule","Microsoft Learn - Blob Access Tiers","Golden Rule Batch 1"
"Which Azure Disk type offers the highest IOPS for latency-sensitive workloads?","Standard HDD","Standard SSD","Premium SSD","Ultra Disk","D","Ultra Disk provides the highest performance with up to 160,000 IOPS and sub-millisecond latency for mission-critical workloads like SAP HANA and top-tier databases. Premium SSD provides up to 20,000 IOPS, while Standard SSD and HDD offer lower performance tiers.","Storage,Disks,Performance,Golden Rule","Microsoft Learn - Disk Types","Golden Rule Batch 1"
"Which App Service Plan tier provides autoscaling and high availability features?","Free","Basic","Standard","Premium","D","Premium tier (P1v2, P2v2, P3v2, P1v3, P2v3, P3v3) includes autoscaling, custom domains with SSL, deployment slots, and 99.95% SLA. Standard tier has some features but Premium offers advanced scaling, higher SLA, and better performance with more memory and CPU.","App Service,Scaling,High Availability,Golden Rule","Microsoft Learn - App Service Plans","Golden Rule Batch 1"
"What is the recommended authorization method for AzCopy to securely transfer files?","SAS Token","Azure AD (Entra ID)","FTP","Shared Key","B","Azure AD (Microsoft Entra ID) provides the most secure authorization using identity-based authentication with role-based access control (RBAC). SAS tokens work but require manual rotation and management, while Shared Key exposes the storage account key which is less secure than identity-based authentication.","AzCopy,Security,Authentication,Golden Rule","Microsoft Learn - AzCopy Authorization","Golden Rule Batch 1"
"Which type of Azure VPN Gateway connection allows site-to-site connectivity between on-premises networks and Azure?","Point-to-Site","Site-to-Site","VNet-to-VNet","ExpressRoute","B","Site-to-Site (S2S) VPN creates an IPsec/IKE tunnel between on-premises VPN devices and Azure VPN Gateway. Point-to-Site connects individual clients, VNet-to-VNet connects Azure virtual networks, and ExpressRoute is a dedicated private connection (not VPN).","Networking,VPN Gateway,Connectivity,Golden Rule","Microsoft Learn - VPN Gateway","Golden Rule Batch 1"
"Which Azure Load Balancer type distributes traffic within a virtual network to private IP addresses?","Public","Internal","Global","Standard","B","Internal (Private) Load Balancer distributes traffic to resources within a VNet using private IP addresses only. Public Load Balancer has a public IP and distributes internet traffic to backend resources (Standard and Basic are SKUs, not types).","Networking,Load Balancer,Golden Rule","Microsoft Learn - Load Balancer","Golden Rule Batch 1"
"Which snapshot type ensures applications in the VM are in a consistent state during backup?","Crash-consistent","Application-consistent","Unmanaged","Read-only","B","Application-consistent snapshots use VSS (Volume Shadow Copy Service) on Windows or scripts on Linux to quiesce applications and flush in-memory data to disk before snapshot. Crash-consistent snapshots capture data as-is without coordinating with applications, potentially causing data inconsistency for databases.","VM,Backup,Consistency,Golden Rule","Microsoft Learn - VM Backup","Golden Rule Batch 1"
"When restoring a VM with managed encrypted disks, which practice ensures correct restoration?","Restore to unencrypted disks","Match encryption type with source VM","Only restore application files","Use crash-consistent snapshot only","B","Azure Disk Encryption (ADE) settings must match between source and restored VM to ensure proper key vault access and disk decryption. Restoring encrypted disks to unencrypted or vice versa will cause boot failures and data access issues.","VM,Restore,Encryption,ADE,Golden Rule","Microsoft Learn - VM Restore","Golden Rule Batch 1"
