Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"A development team is deploying a .NET 6 web API to Azure App Service. Which runtime stack ensures native compatibility and optimal performance?","Node.js 18","Python 3.11","Java 17",".NET 6","D","Azure App Service natively supports .NET 6 runtime with built-in load balancing, auto-patching, and zero-config deployment. Mismatched runtime stacks cause deployment failures; always verify App Service plan OS (Windows/Linux) supports your target framework version.","App Service,Runtime Stacks,Golden Rule Enriched","MS Learn - App Service Runtime","Golden Rule Enriched Part 1"
"Your App Service hosts a legacy PHP application. Which runtime is NOT supported and requires containerization?","Python 3.11","Oracle Database","PHP 8.2","Node.js 18","B","App Service supports Python, PHP, .NET, Node.js, and Java as managed runtimes with automatic updates. Oracle DB is a database product requiring separate Azure SQL/PostgreSQL or containerized deployment; App Service connects via connection strings, not runtime hosting.","App Service,Runtime Stacks,Golden Rule Enriched","MS Learn - App Service Runtime","Golden Rule Enriched Part 1"
"When selecting an App Service runtime stack, the critical decision factor is:","Match application's programming language and version","Always choose the latest runtime version","Select based on lowest monthly cost","Use default runtime to simplify deployment","A","GOLDEN RULE: Runtime stack must match your app's language and framework version to avoid incompatibility errors. Check language lifecycle (LTS vs current) and ensure App Service plan region supports your stack; upgrade planning prevents breaking changes during auto-patching windows.","App Service,Runtime Stacks,Best Practice,Golden Rule Enriched","MS Learn - App Service Runtime","Golden Rule Enriched Part 1"
"A financial trading app requires sustained 50,000+ IOPS with sub-2ms latency. Which storage account type fits?","Standard (HDD-backed)","Premium (SSD-backed)","BlobStorage (legacy tier)","Cool tier GPv2","B","Premium storage uses SSD-backed managed disks delivering up to 80,000 IOPS and <1ms latency for I/O-intensive workloads like SQL OLTP or SAP HANA. Standard storage uses HDD with ~500 IOPS per disk; Premium requires specific VM sizes (s-series) that support Premium SSD attach.","Storage,Performance,Premium,Golden Rule Enriched","MS Learn - Storage Performance","Golden Rule Enriched Part 1"
"An archival system stores append-only logs with minimal reads and no page blob or VM disk needs. Which account type was designed for this?","General Purpose v2 (GPv2)","BlobStorage (legacy)","Premium BlockBlobStorage","FileStorage","B","BlobStorage accounts were optimized for block/append blobs only (no page blobs, files, or tables) with Hot/Cool tiers. Microsoft now recommends GPv2 for all new deployments since it supports all blob types, access tiers, and lifecycle policies with equivalent pricing and broader feature set.","Storage,BlobStorage,Golden Rule Enriched","MS Learn - Storage Account Types","Golden Rule Enriched Part 1"
"The fundamental decision rule when choosing storage account performance is:","Always select Premium to maximize speed","Match storage tier to workload's IOPS, latency, and throughput requirements","Choose Standard to minimize costs upfront","Ignore performance; rely on caching layers","B","GOLDEN RULE: Right-size storage performance to workload needs—Premium for latency-sensitive transactional systems (databases, VDI), Standard for general file shares and cold data. Overprovisioning wastes budget; underprovisioning causes throttling and SLA violations; use Azure Monitor metrics to validate tier selection.","Storage,Performance,Best Practice,Golden Rule Enriched","MS Learn - Storage Account Types","Golden Rule Enriched Part 1"
"A 500 GB database needs to migrate from Standard to Premium storage with zero downtime. Which tool enables server-side copy?","Azure Storage Explorer (client download)","FTP with parallel connections","AzCopy with service-to-service copy","Manual PowerShell loop with Get/Set-Blob","C","AzCopy v10 supports direct service-to-service blob copy using '--from-to' flag, transferring data server-side without local download. Use SAS tokens or Azure AD auth for both source and destination; resume capability and parallel transfers (default 300 concurrent operations) minimize migration time and network costs.","Storage,Migration,AzCopy,Golden Rule Enriched","MS Learn - AzCopy","Golden Rule Enriched Part 1"
"When migrating production Azure Storage, the safest approach is:","Use third-party FTP clients for maximum control","Execute manual PowerShell loops for each blob","Stop all applications and copy data offline","Use Microsoft-supported tools (AzCopy, Data Box, Import/Export)","D","GOLDEN RULE: Microsoft-supported tools ensure data integrity via checksums (MD5), provide resume on failure, and integrate with Azure RBAC/encryption. AzCopy for <10 TB online, Data Box for 40+ TB offline, Import/Export for physical drives; validate with '--dry-run' flag and monitor copy logs for errors before cutover.","Storage,Migration,Best Practice,Golden Rule Enriched","MS Learn - Storage Migration","Golden Rule Enriched Part 1"
"A disaster recovery plan requires reading backup data from a secondary region during primary region outage. Which redundancy option?","LRS (3 copies, single data center)","ZRS (3 zones, single region)","GRS (secondary region, no read access)","RA-GRS (secondary region with read endpoint)","D","RA-GRS replicates 6 copies total (3 LRS primary + 3 LRS secondary) and provides read-only access via '-secondary' DNS suffix (e.g., account-secondary.blob.core.windows.net). GRS replicates identically but secondary reads require Microsoft-initiated failover; RA-GRS enables app-driven failover with eventual consistency (RPO ~15 min).","Storage,Redundancy,RA-GRS,Golden Rule Enriched","MS Learn - Storage Redundancy","Golden Rule Enriched Part 1"
"An availability zone failure brings down one data center in your region. Which redundancy protects data availability?","LRS (local redundancy in one zone)","ZRS (zone-redundant, 3 AZs)","GRS (geo-redundant, secondary region)","RA-GRS (geo + read access)","B","ZRS synchronously replicates across 3 availability zones in the primary region with automatic failover and zero RTO for zone outages. LRS keeps all copies in a single zone (vulnerable to zone failure); GRS/RA-GRS protect against region failure but not individual zone failure within the primary region; combine GZRS for both zone + region resilience.","Storage,Redundancy,ZRS,Golden Rule Enriched","MS Learn - Storage Redundancy","Golden Rule Enriched Part 1"
"For mission-critical systems requiring both zone and region-level protection, the essential redundancy choice is:","LRS with manual backup scripts","ZRS with lifecycle policies","GRS with read access","GZRS (zone-redundant in primary + geo-replication)","D","GOLDEN RULE: GZRS combines ZRS in the primary region (3 AZ copies) with asynchronous geo-replication to a secondary region (3 LRS copies), totaling 6 copies across 2 regions. It ensures availability during zone or region failures; RA-GZRS adds secondary read access; costs ~2x more than LRS but meets strictest RPO/RTO SLAs for Tier-0 workloads.","Storage,Redundancy,Best Practice,Golden Rule Enriched","MS Learn - Storage Redundancy","Golden Rule Enriched Part 1"
