Question,Answer,Tags,Source
"What are the 4 Microsoft Entra ID license types?","Free, Premium P1, Premium P2, Pay as you go","Entra-Licenses,Identities","Tutorials Dojo Cheat Sheet"
"What does Microsoft Entra ID Free license provide?","User and group management in on-premises directory","Entra-Licenses,Identities","Tutorials Dojo Cheat Sheet"
"What does Microsoft Entra ID Premium P1 license enable?","Access to both on-premises and cloud resources","Entra-Licenses,Identities","Tutorials Dojo Cheat Sheet"
"What additional feature does Premium P2 provide?","Microsoft Entra Identity Protection","Entra-Licenses,Identities","Tutorials Dojo Cheat Sheet"
"What feature does Pay as you go license offer?","Azure AD B2C (Business-to-Customer)","Entra-Licenses,Identities,B2C","Tutorials Dojo Cheat Sheet"
"What is Azure AD B2B used for?","Managing external identities (business-to-business collaboration)","Entra-Features,B2B,Identities","Tutorials Dojo Cheat Sheet"
"What is Azure AD B2C?","Business-to-customer identity as a service that controls how users sign up, sign in, and manage profiles when using your applications","Entra-Features,B2C,Identities","Tutorials Dojo Cheat Sheet"
"What 4 authentication features does Microsoft Entra provide?","Self-service password reset (SSPR), MFA, custom banned password list, smart lockout","Entra-Features,Authentication,Security","Tutorials Dojo Cheat Sheet"
"What is Microsoft Entra Domain Services used for?","Managing domain services such as domain join, group policy, and authentication","Entra-Features,Domain-Services,Identities","Tutorials Dojo Cheat Sheet"
"What is Microsoft Entra Permissions Management (CIEM)?","Cloud Infrastructure Entitlement Management - provides comprehensive visibility and control over permissions for any identity/resource in Azure, AWS, GCP","Entra-Features,CIEM,Security","Tutorials Dojo Cheat Sheet"
"What is Microsoft Entra Workload ID?","A workload identity assigned to software workloads (web app, API, script, container) to authenticate and access Azure services and resources","Entra-Features,Workload-Identity,Identities","Tutorials Dojo Cheat Sheet"
"What are the 5 capabilities of Microsoft Entra Connect?","1. Password hash synchronization<br>2. Pass-through authentication<br>3. Federation integration<br>4. Synchronization (on-prem ↔ cloud)<br>5. Health Monitoring with Entra Connect Health","Entra-Connect,Hybrid-Identity,Sync","Tutorials Dojo Cheat Sheet"
"What does pass-through authentication in Entra Connect enable?","Users can use the same password on-premises and in the cloud","Entra-Connect,Authentication,Hybrid-Identity","Tutorials Dojo Cheat Sheet"
"What 5 additional authentication methods can be used with MFA?","1. Microsoft Authenticator app<br>2. OATH hardware token<br>3. SMS<br>4. Voice call<br>5. (Built-in app authentication)","MFA,Authentication,Security","Tutorials Dojo Cheat Sheet"
"What 5 bulk operations can be performed on users?","Bulk create, Bulk invite, Bulk delete, Bulk restore, Download users","Users,Bulk-Operations,Identities","Tutorials Dojo Cheat Sheet"
"What does Self-Service Password Reset (SSPR) enable?","Users can manage their passwords from any device, at any time, from any location","SSPR,Authentication,Users","Tutorials Dojo Cheat Sheet"
"What are the 2 group types in Microsoft Entra?","1. Security group (contains users, devices, groups, service principals)<br>2. Microsoft 365 group (contains users only as members)","Groups,Identities","Tutorials Dojo Cheat Sheet"
"Who can be owners of a Security group?","Users and service principals","Groups,Security-Groups,Identities","Tutorials Dojo Cheat Sheet"
"Who can be owners of a Microsoft 365 group?","Users and service principals","Groups,M365-Groups,Identities","Tutorials Dojo Cheat Sheet"
"What are the 3 membership types for groups?","1. Assigned (manual)<br>2. Dynamic user (auto add/remove using dynamic membership rules)<br>3. Dynamic device (auto add/remove using dynamic group rules)","Groups,Membership-Types,Identities","Tutorials Dojo Cheat Sheet"
"What are the 2 types of role definitions in Microsoft Entra?","1. Built-in roles (fixed permissions)<br>2. Custom roles (select permissions from preset list - requires Premium P1/P2)","RBAC,Roles,Identities","Tutorials Dojo Cheat Sheet"
"What license is required to create custom roles?","Microsoft Entra Premium P1 or P2 plan","RBAC,Roles,Licenses","Tutorials Dojo Cheat Sheet"
"What is an administrative unit in Microsoft Entra?","A Microsoft Entra resource that acts as a container for other Entra resources - can only contain users and groups","Administrative-Units,Identities","Tutorials Dojo Cheat Sheet"
"What can an administrative unit contain?","Only users and groups","Administrative-Units,Identities","Tutorials Dojo Cheat Sheet"
"What are Microsoft Entra registered devices?","Personally owned devices (BYOD or mobile) signed in with personal Microsoft account<br><br>Supported OS: Windows 10, macOS, iOS, Android","Devices,Registered-Devices,Identities","Tutorials Dojo Cheat Sheet"
"What are the key capabilities of Entra registered devices?","1. SSO to cloud resources<br>2. Conditional access (when enrolled in Intune or via App protection policy)<br>3. Phone sign-in with Microsoft Authenticator app","Devices,Registered-Devices,Capabilities","Tutorials Dojo Cheat Sheet"
"What are Microsoft Entra joined devices?","Devices and accounts owned by organization, exists only in the cloud<br><br>Supported OS: Windows 10 (except Home), Windows Server 2019 VMs in Azure","Devices,Joined-Devices,Identities","Tutorials Dojo Cheat Sheet"
"When is Microsoft Entra join primarily used?","For organizations that do NOT have an on-premises Windows Server AD infrastructure","Devices,Joined-Devices,Use-Cases","Tutorials Dojo Cheat Sheet"
"What are Microsoft Entra hybrid joined devices?","Devices and Entra Domain Services account owned by organization, exists in BOTH cloud and on-premises<br><br>Supported OS: Windows 7, 8.1, 10, Server 2008/R2, 2012/R2, 2016, 2019","Devices,Hybrid-Joined,Identities","Tutorials Dojo Cheat Sheet"
"When should you implement hybrid joined devices?","When you have an existing on-premises AD footprint and want to benefit from Microsoft Entra capabilities","Devices,Hybrid-Joined,Use-Cases","Tutorials Dojo Cheat Sheet"
"What are the key capabilities of hybrid joined devices?","1. SSO to both cloud and on-premises resources<br>2. Conditional access (via Domain join or Intune)<br>3. SSPR and Windows Hello PIN reset on lock screen<br>4. Enterprise State Roaming across devices","Devices,Hybrid-Joined,Capabilities","Tutorials Dojo Cheat Sheet"
"What does Mobile Device Management (MDM) help enforce?","Configurations like: storage must be encrypted, password complexity, up-to-date security software","Devices,MDM,Security","Tutorials Dojo Cheat Sheet"
"What 5 things can you do when registering an application with Microsoft Entra?","1. Get identity for app recognized by Entra<br>2. Get secrets/keys for authentication<br>3. Create custom name and logo<br>4. Apply Entra authorization (RBAC and OAuth)<br>5. Declare necessary permissions","App-Registration,Applications,Identities","Tutorials Dojo Cheat Sheet"
"What does Application Proxy provide?","SSO and remote access for web apps hosted on-premises","App-Proxy,Applications,SSO","Tutorials Dojo Cheat Sheet"
"What can you monitor with Microsoft Entra reports?","Security and usage patterns of your environment","Monitoring,Reports,Security","Tutorials Dojo Cheat Sheet"
"What can you view with Microsoft Entra Connect Health?","Alerts, performance monitoring, and usage analytics of on-premises Active Directory and Microsoft Entra","Monitoring,Connect-Health,Hybrid-Identity","Tutorials Dojo Cheat Sheet"
"What does Identity Protection detect?","Potential vulnerabilities and suspicious actions","Security,Identity-Protection,Monitoring","Tutorials Dojo Cheat Sheet"
"What does Microsoft Entra PIM help control?","Access within your organization (Privileged Identity Management)","Security,PIM,RBAC","Tutorials Dojo Cheat Sheet"
"What do security defaults enable in your organization?","MFA for all users","Security,Security-Defaults,MFA","Tutorials Dojo Cheat Sheet"
"What attacks do security defaults protect against?","Common identity-related attacks","Security,Security-Defaults,Protection","Tutorials Dojo Cheat Sheet"
"When should you use 'block legacy authentication'?","When a user is using a legacy application that doesn't support modern authentication","Security,Legacy-Auth,Authentication","Tutorials Dojo Cheat Sheet"
"What does Identity Secure Score help verify?","If your configurations are aligned with Microsoft's best practices for security","Security,Secure-Score,Best-Practices","Tutorials Dojo Cheat Sheet"
"What does smart lockout protect against?","Intruders trying to guess users' passwords or use brute-force methods","Security,Smart-Lockout,Authentication","Tutorials Dojo Cheat Sheet"
"What does Privileged Identity Management (PIM) help you do?","Manage, control, and monitor access to significant resources in your organization","Security,PIM,RBAC,Governance","Tutorials Dojo Cheat Sheet"
"True or False: Groups have security credentials","False - Groups do NOT have security credentials","Groups,Security,Identities","Tutorials Dojo Cheat Sheet"
"True or False: A user can belong to multiple groups","True - A user can belong to multiple groups","Groups,Users,Identities","Tutorials Dojo Cheat Sheet"
"What does conditional access help manage?","Access in your cloud apps","Security,Conditional-Access,Applications","Tutorials Dojo Cheat Sheet"
"What does Identity Governance ensure?","Only authorized people have the right access to specific resources","Security,Governance,RBAC","Tutorials Dojo Cheat Sheet"
