Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
Which runtime stack should you choose for a .NET 6 application in Azure App Service?,Node.js,Python,Java,.NET 6,D,Azure App Service natively supports .NET 6 runtime stack for both Windows and Linux App Service plans. Always match the runtime stack to your application's programming language and version to ensure compatibility and optimal performance.,"App Service,Runtime Stacks,Golden Rule",Microsoft Learn - App Service Runtime,Golden Rule Part 1
Azure App Services support multiple runtimes. Which of the following is NOT a supported runtime stack?,Python,PHP,.NET Core,Oracle DB,D,"Azure App Service supports Python, PHP, .NET Core, .NET, Node.js, and Java as runtime stacks. Oracle DB is a database system, not an application runtime stack - databases are accessed via connection strings from App Service applications.","App Service,Runtime Stacks,Golden Rule",Microsoft Learn - App Service Runtime,Golden Rule Part 1
Best practice for selecting a runtime stack is to:,Match application language,Choose highest version,Use default,Ignore compatibility,A,GOLDEN RULE: Always match the runtime stack to your application's programming language and framework version. Mismatched runtime stacks will cause deployment failures or runtime errors regardless of other configuration settings.,"App Service,Runtime Stacks,Best Practice,Golden Rule",Microsoft Learn - App Service Runtime,Golden Rule Part 1
Which storage account type is optimized for high IOPS workloads?,Standard,Premium,BlobStorage,FileStorage,B,"Premium storage accounts use SSD-backed storage designed for I/O-intensive workloads requiring low latency and high IOPS (up to 20,000+ IOPS). Standard storage uses HDD-backed storage suitable for general-purpose workloads with lower performance requirements.","Storage,Performance,Premium,Golden Rule",Microsoft Learn - Storage Performance,Golden Rule Part 1
BlobStorage account type is best for:,Block blobs,Premium compute,Databases,VM disks,A,"BlobStorage account type is a legacy tier specifically optimized for storing block blobs and append blobs only (no page blobs, files, queues, or tables). Modern recommendation is to use General Purpose v2 (GPv2) accounts which support all storage types with access tier options.","Storage,BlobStorage,Golden Rule",Microsoft Learn - Storage Account Types,Golden Rule Part 1
Golden Rule for selecting storage accounts is to:,Select cheapest,Match performance to workload,Always choose Premium,Ignore workload needs,B,"GOLDEN RULE: Match storage account type and performance tier to your workload requirements (IOPS, latency, throughput). Premium for high-performance scenarios, Standard for general workloads - cost optimization comes from right-sizing, not always choosing the cheapest option.","Storage,Performance,Best Practice,Golden Rule",Microsoft Learn - Storage Account Types,Golden Rule Part 1
Which tool allows migration between storage types without downtime?,AzCopy,Azure Storage Explorer,Manual Copy,FTP,A,AzCopy supports service-to-service copy operations enabling migration between storage account types without downloading data locally. Use 'azcopy copy' with source and destination storage account URLs to perform server-side copy with minimal downtime.,"Storage,Migration,AzCopy,Golden Rule",Microsoft Learn - AzCopy,Golden Rule Part 1
Best practice when migrating Azure Storage:,Stop all VMs,Use unsupported tools,Use supported tools,Delete old data,C,"GOLDEN RULE: Always use Microsoft-supported migration tools (AzCopy, Azure Data Box, Azure Import/Export) for storage migrations. Supported tools ensure data integrity, provide resume capability, and are tested for Azure-specific scenarios unlike third-party FTP or manual copy methods.","Storage,Migration,Best Practice,Golden Rule",Microsoft Learn - Storage Migration,Golden Rule Part 1
Which redundancy provides read access to a secondary region?,LRS,ZRS,GRS,RA-GRS,D,RA-GRS (Read-Access Geo-Redundant Storage) replicates data to a secondary region AND provides read-only access via a secondary endpoint (-secondary suffix). GRS replicates to secondary region but only allows read access after Microsoft-initiated failover.,"Storage,Redundancy,RA-GRS,Golden Rule",Microsoft Learn - Storage Redundancy,Golden Rule Part 1
"If local data center fails, which option ensures zone-level redundancy?",LRS,ZRS,GRS,RA-GRS,B,"ZRS (Zone-Redundant Storage) synchronously replicates data across 3 availability zones within the same region protecting against data center-level failures. LRS keeps 3 copies in a single data center (no zone protection), while GRS/RA-GRS replicate across regions but not across zones within the primary region.","Storage,Redundancy,ZRS,Golden Rule",Microsoft Learn - Storage Redundancy,Golden Rule Part 1
"Golden Rule: When high availability is required, always consider:",LRS,ZRS,Geo-redundant,Manual backup,C,"GOLDEN RULE: For high availability and disaster recovery, always consider geo-redundant storage options (GRS or RA-GRS). Geo-redundancy protects against regional disasters by maintaining copies in a secondary region hundreds of miles away from the primary region.","Storage,Redundancy,High Availability,Golden Rule",Microsoft Learn - Storage Redundancy,Golden Rule Part 1
Which tier is most cost-efficient for rarely accessed data?,Hot,Cool,Archive,Premium,C,"Archive tier offers the lowest storage cost ($0.00099/GB vs $0.0152/GB for Hot) for data accessed less than twice per year. Rehydration from Archive takes several hours and has higher access costs, making it ideal for long-term backup and compliance data.","Storage,Blob,Access Tiers,Golden Rule",Microsoft Learn - Blob Access Tiers,Golden Rule Part 1
Which tier allows low-latency frequent access?,Hot,Cool,Archive,Premium,A,Hot tier provides millisecond-latency access with highest storage cost but lowest access/transaction cost for frequently accessed data. Premium tier uses SSD storage but is more expensive; Cool tier has higher access costs; Archive requires rehydration.,"Storage,Blob,Access Tiers,Golden Rule",Microsoft Learn - Blob Access Tiers,Golden Rule Part 1
Golden Rule: Select access tier based on:,Cost only,Frequency of access,Storage type,Random choice,B,"GOLDEN RULE: Select blob access tier based on data access frequency and retention requirements (Hot: frequent access, Cool: infrequent 30+ days, Archive: rare 180+ days). Access patterns drive both storage and transaction costs - wrong tier selection leads to cost overruns.","Storage,Blob,Access Tiers,Best Practice,Golden Rule",Microsoft Learn - Blob Access Tiers,Golden Rule Part 1
