Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"What is the VABRF framework and what does each letter represent?","Vault-Auth-Backup-Restore-Failover (5-step resilience blueprint)","Vault-Auth-Backup-Restore-Failover (5-step resilience blueprint)","Volume-Availability-Backup-Replicate-Failover (storage-focused)","Virtual-Architecture-Baseline-Recovery-Framework (planning)","B","VABRF is the operational sequence: V=Vault (create RSV first), A=Access (assign RBAC), B=Backup (configure policy), R=Restore (local recovery like ransomware), F=Failover (cross-region via ASR). This is the logical blueprint for end-to-end resilience covering both backup archival and business continuity.","Resilience, VABRF, Framework, Disaster Recovery","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"You're setting up Azure Backup for East US VMs. Where must you create the Recovery Services Vault (RSV)?","West US (geographically distant for security)","East US (same region as protected resources)","Central US (geographic center of Azure)","Any region; RSV is a global service","B","RSV acts as an administrative boundary tied to its region. It MUST be in the same region as protected resources because: (1) reduces snapshot orchestration latency, (2) maintains clean admin boundaries, (3) hard requirement for initial protection enablement. Cross-region vaults fail to link with VMs; you need PowerShell New-AzRecoveryServicesVault in the correct region.","Vault, RSV, Regional Boundary, Configuration","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"Why can't a Reader RBAC role configure backup policies in RSV?","Reader has visibility but no write permissions to create/modify policies","Reader has visibility but no write permissions to create/modify policies","Reader role is too junior; you need at least Backup Operator","Reader isn't recognized by Azure Backup service APIs","B","Reader = read-only. Configuring policies, adjusting retention, kicking off recoveries are all write operations. Backup Contributor or Contributor role required. Reader can see the vault but cannot perform any protection operations; attempting to configure policy will error out every time.","RBAC, Backup Contributor, Permissions, Governance","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"Distinguish between Azure Backup (BaaS) and Azure Site Recovery (ASR) in terms of purpose and recovery characteristics.","Both do the same thing; BaaS is just the older name","Backup = long-term archival (weeks/months/years), slower restoration, new infra needed. ASR = business continuity, high-frequency replication, recent recovery points (hours/72hrs), pre-positioned infra, fast failover","Both are for regional disasters; BaaS is cheaper","ASR is only for ransomware; Backup is for regional outages","B","Critical distinction: Azure Backup (BaaS) = data archival focus, recovery points from weeks ago, restoration requires spinning up new VMs/disks/NICs (slower). Azure Site Recovery (PaaS) = continuity focus, near-continuous replication to secondary region, recovery points hours/72hrs old, often pre-provisioned cold infra, dramatic failover speed. Different tools, different missions.","Backup, ASR, Business Continuity, Disaster Recovery","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"Production VM hit with ransomware. Region is healthy. What's the fastest recovery path?","Use ASR to failover to secondary region immediately","Restore from Azure Backup recovery point, create clean new VM, validate, then cut users over","Rebuild the VM manually from scratch","Use Site Recovery test failover","B","Ransomware = localized data disaster, not regional. Fastest path: (1) Select clean recovery point in RSV from before encryption, (2) Restore type = create new VM, (3) Validate the restored system (core apps, data integrity), (4) Cut users/DNS over. ASR is overkill here; you already have clean data in backup. Restoration creates fresh uninfected instance, isolating the compromise.","Ransomware, Recovery, Backup, Local Disaster","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"What is an 'app-consistent' recovery point and what technology enables it on Windows?","Snapshot of disks only; no application coordination needed","Uses Volume Shadow Copy Service (VSS) to coordinate with apps (SQL, etc.), flushing in-flight transactions to disk BEFORE snapshot, ensuring DB consistency on failover","A scheduled backup taken during low-traffic hours","An encrypted recovery point for compliance","B","App-consistent recovery point uses VSS (Windows) to coordinate with SQL, Exchange, etc. VSS flushes pending transactions from memory to disk BEFORE snapshot. Crash-consistent point (disk snapshot only) risks data loss from in-flight transactions. On ASR failover, app-consistent = usable consistent DB state; crash-consistent = potential corruption, manual recovery needed. App-consistent is the operational requirement.","Recovery Point, VSS, App Consistency, Data Integrity","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"Why is test failover in ASR considered critical BEFORE an actual disaster?","It's a compliance checkbox that auditors require","Validates entire DR setup (network config, storage, VM boot, infrastructure) in isolated sandbox WITHOUT impacting production, proving viability before crisis; finding flaws during actual disaster is catastrophic","It reduces RPO by 10%","It's optional; real failover is the only validation needed","B","Test failover is the fire drill. It uses an isolated VNet in secondary region, simulates a recovery point without affecting production or ongoing replication. You discover configuration gaps (VNet issues, storage problems, boot failures) safely before needing real failover. Skipping this = gambling with business continuity. Flawed DR plan = worst discovery timing = disaster.","ASR, Test Failover, Validation, Disaster Recovery","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"During an unplanned failover when source region is completely dark, what happens after ASR powers up the replica VM in the secondary region?","The failover is complete; no further action needed","Two critical steps: (1) Commit (locks in recovery point, makes secondary new primary, no going back), (2) Reprotect (sets up replication back to primary region, restoring redundancy)","Automatically roll back to primary after 24 hours","Manual DNS update is the only required step","B","Unplanned failover sequence: (1) ASR uses most recent recovery point, powers up replica, (2) Verify business operational on secondary, (3) Commit failover (finalizes the move, locks recovery point, secondary is now authoritative), (4) Reprotect (establishes replication from new primary back to original region). Without reprotect, you're running unprotected in single region again. Both steps mandatory; order matters.","ASR, Failover, Commit, Reprotect","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"You notice ASR replication lag is creeping higher each night but isn't outright failing. No alerts have fired yet. Which alert type would detect this pattern?","Metric alert (CPU spike)","Log search alert (KQL query detecting lag over time)","Activity log alert (resource changes)","Email notification to inbox","B","Log search alerts run KQL (Kusto Query Language) queries against Log Analytics data. You could write: 'detect if ASR replication lag exceeds RPO threshold for >1 hour over 24-hour period.' Catches degradation before failure. Metric alerts = real-time thresholds (CPU). Activity logs = admin changes. Log search = temporal patterns. Degradation detection = log search = prevent disasters proactively.","Monitoring, Alerts, Log Search, Proactive","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"What are Azure Action Groups and how do they support resilience?","Manual notification system that requires clicking alerts in the portal","Define both notification channels (email, SMS, voice) AND automated responses (runbooks, logic apps); e.g., action group triggers runbook to restart Site Recovery agent on affected VM, potentially self-healing before human intervention","A backup scheduling tool","A network security rule set","B","Action Groups = automated response orchestration. When metric/activity/log-search alerts fire, action groups: (1) Notify stakeholders (email/SMS/voice), (2) Trigger automated remediation (Azure Automation runbook, Logic App). Example: replication lag alert → action group → runbook auto-restarts ASR agent service → problem self-heals before escalation. Disciplined resilience = detection + automation.","Action Groups, Automation, Monitoring, Resilience","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"The VABRF sequence is mandatory. If you skip step B (backup policy) and try to protect a VM, what happens?","The VM is automatically protected with default policy","Configuration fails; you MUST define policy before attaching protection to any VM in that vault","The VM is protected but in a degraded state","You can attach protection, then configure policy later","B","VABRF is a non-negotiable sequence. V=Vault (must exist first), A=Access (RBAC assigned), B=Backup (policy defined BEFORE protection), R=Restore (local recovery), F=Failover (cross-region). Skipping B and trying to enable protection fails. The policy is the contract: schedule (how often), retention (how long). No policy = no protection possible.","VABRF, Sequence, Policy, Configuration","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
"RSV is created in East US. You need to replicate VMs to West US for ASR failover. Does the secondary region VNet need to be pre-provisioned before ASR replication starts?","No; ASR creates everything automatically on failover","Yes; ASR failover requires pre-configured (even if cold/stopped) target VNet in secondary region for ASR to deploy replica VM into; misconfiguration here breaks failover","ASR handles it with templates","Only if the secondary region is in a different subscription","B","ASR failover needs healthy, correctly configured target infrastructure in secondary region. Target VNet must exist and be properly configured (subnets, DNS, NSGs, etc.). ASR can provision VM and disks, but network foundation must be ready. Missing/misconfigured VNet = failover fails mid-crisis. This is where proactive Azure Policy enforcement (via action groups) prevents drift in critical secondary infrastructure.","ASR, VNet, Secondary Region, Infrastructure","Deep Dive Transcript","Resilience & Disaster Recovery Deep Dive Batch"
